name,cuisine,rating,price,address,distance_miles,dietary_options,last_visited
Mert's Heart and Soul,Soul Food,4.6,$$,"214 N College St, Charlotte, NC 28202",0.3,vegetarian,2026-07-18
The King's Kitchen,Southern,4.4,$$,"129 W Trade St, Charlotte, NC 28202",0.2,vegetarian,2026-08-26
Bojangles,Fried Chicken,3.8,$,"310 E Trade St, Charlotte, NC 28202",0.4,,2026-08-29
La Belle Helene,French,4.5,$$$,"300 S Tryon St, Charlotte, NC 28202",0.3,,2026-03-08
Salsarita's Fresh Mexican Grill,Tex-Mex,3.9,$,"435 S Tryon St, Charlotte, NC 28202",812,,2026-08-12
Charlotte Cafe & Grill,American,47,$,"801 S Mint St, Charlotte, NC 28202",0.9,,2026-06-20
Fin & Fino,,4.5,$$$,"135 Levine Ave of the Arts, Charlotte, NC 28202",0.5,gluten-free,2026-05-02
Rooster's Wood-Fired Kitchen,American,4.4,$$$,"150 N College St, Charlotte, NC 28202",,vegetarian,2026-03-29
Sabor Latin Street Grill,Latin American,4.3,$,"2001 E 7th St, Charlotte, NC 28204",1.9,vegetarian;vegan,2026-08-21
Sabor Latin Street Grill,Latin American,4.1,$,"8430 University City Blvd, Charlotte, NC 28213",9.7,vegetarian;vegan,2026-06-30
Viva Chicken,Peruvian,4.4,$$,"1617 Elizabeth Ave, Charlotte, NC 28204",1.6,gluten-free,2026-08-14
Bang Bang Burgers,Burgers,4.4,$$,"2001 E 7th St, Charlotte, NC 28204",1.9,vegetarian,2026-08-05
Sushi Guru,Sushi,4.2,$$,"1500 Metropolitan Ave, Charlotte, NC 28204",1.3,gluten-free,2026-07-11
Mama Ricotta's,Italian,4.4,$$,"601 S Kings Dr, Charlotte, NC 28204",1.4,vegetarian,06/15/2026
Futo Buta,Ramen,4.4,$$,"222 E Bland St, Charlotte, NC 28203",1.1,vegetarian,2026-05-19
Futo Buta,Japanese,3.9,$$,"222 E Bland St, Charlotte, NC 28203",1.1,,2026-08-11
Seoul Food Meat Company,Korean BBQ,4.2,$$,"1400 S Church St, Charlotte, NC 28203",1.4,,2026-07-07
Zeppelin,New American,4.1,$$$,"235 W Tremont Ave, Charlotte, NC 28203",1.7,gluten-free,2026-02-14
Thai Taste,  Thai ,4.1,$,"324 East Blvd, Charlotte, NC 28203",1.5,vegetarian;vegan,2026-06-05
JJ's Red Hots,Hot Dogs,,$,"1514 East Blvd, Charlotte, NC 28203",1.8,,2026-05-15
Kid Cashew,Mediterranean,4.3,$$,"1608 East Blvd, Charlotte, NC 28203",1.9,vegetarian;gluten-free,2027-03-14
Common Market,Deli,N/A,$,"1515 S Tryon St, Charlotte, NC 28203",1.5,vegetarian;vegan,2026-08-07
Midwood Smokehouse,BBQ,4.5,$$,"1401 Central Ave, Charlotte, NC 28205",2.4,gluten-free,2026-08-02
Sweet Lew's BBQ,barbeque,4.6,$,"923 Belmont Ave, Charlotte, NC 28205",2.1,,2026-07-04
Noble Smoke,Barbecue,4.5,$$,"2216 Freedom Dr, Charlotte, NC 28208",2.9,gluten-free,2026-08-16
Soul Gastrolounge,Tapas,4.7,$$$,"1500 Central Ave, Charlotte, NC 28205",2.3,vegetarian,2026-04-12
Dish,Southern,4.3,$$,"1220 Thomas Ave, Charlotte, NC 28205",-3.4,vegetarian,2026-05-09
Cabo Fish Taco,Tex-Mex,4.3,$$,"3201 N Davidson St, Charlotte, NC 28205",3.3,vegetarian,2026-07-25
  Haberdish,Southern,4.6,$$,"3106 N Davidson St, Charlotte, NC 28205",3.2,vegetarian,2026-08-19
Amelie's French Bakery & Cafe,Bakery,4.5,$,"2424 N Davidson St, Charlotte, NC 28205",3.0,vegetarian,2026-08-24
Bird Pizzeria,Pizza,4.8,$$,"516 E 36th St, Charlotte, NC 28205",3.4,vegetarian,
Three Amigos,mexican,4.2,$,"2917 Central Ave, Charlotte, NC 28205",3.1,vegetarian,2026-07-15
Portofino's,Italian,4.0,$$,"3124 Eastway Dr, Charlotte, NC 28205",4.1,vegetarian,2026-01-22
Letty's on Shamrock,Southern,"4,2",$,"3122 Shamrock Dr, Charlotte, NC 28215",4.5,vegetarian,2026-04-17
Lang Van,Vietnamese,4.7,$,"3019 Shamrock Dr, Charlotte, NC 28215",4.6,vegetarian;vegan,2026-06-14
Le's Sandwiches & Cafe,Vietnamese,4.5,$,"4520 N Tryon St, Charlotte, NC 28213",5.9,,2026-07-31
Optimist Hall,Food Hall,4.5,$$,"1115 N Brevard St, Charlotte, NC 28206",1.2,vegetarian;vegan;gluten-free,2026-08-28
Papi Queso,Sandwiches,4.6,$,"1115 N Brevard St, Charlotte, NC 28206"
Brooks' Sandwich House,Burgers,4.7,cheap,"2710 N Brevard St, Charlotte, NC 28205",2.8,,2026-06-27
Pinky's Westside Grill,American,4.4,$,"1600 W Morehead St, Charlotte, NC 28208",1.8,vegetarian,2026-08-08
Yafo Kitchen,Mediterranean,4.5,$$,"720 Gov Morrison St, Charlotte, NC 28211",5.8,vegetarian;vegan;gluten-free,2026-07-29
The Cowfish Sushi Burger Bar,Fusion,4.4,$$,"4310 Sharon Rd, Charlotte, NC 28211",6.1,vegetarian,2026-05-30
"Hello, Sailor",Seafood,4.4,$$$,"20210 Henderson Rd, Cornelius, NC 28031",19.8,gluten-free,2026-05-25
The Improper Pig,BBQ,4.4,$$,"110 E Park Ave, Charlotte, NC 28203",1.6,vegetarian;vegan,2026-07-22
Viva Chicken,Peruvian,4.4,$$,"1617 Elizabeth Ave, Charlotte, NC 28204",1.6,gluten-free,2026-08-14
